test.a	test.b	first.obs.mean	first.pred.mean	nevol.obs.mean	nevol.pred.mean
0.56	0.54	16.5149541597754	70.8368680456234	48.62	5
0.57	0.54	18.0701321163554	71.788858238884	48.14	5
0.58	0.54	19.4468031511505	71.4724690703828	48.6	5
0.59	0.54	20.6084143983172	75.5350417546414	47.6	5
0.6	0.54	17.8160321941839	72.255235397319	48.03	5
0.61	0.54	19.7948978094691	71.4369657283292	48.06	5
0.62	0.54	21.4885694220246	76.327262541741	48.07	5
0.63	0.54	22.0264624426474	73.6796174610073	47.88	5
0.64	0.54	18.7182301072113	72.4417995549357	46.71	5
0.65	0.54	20.3014259312812	75.0741094674565	46.43	5
0.66	0.54	21.3013292103954	77.2519548623332	45.86	5
0.67	0.54	17.4919814900354	75.5009787679444	46.43	5
0.68	0.54	20.9166172187833	77.6744797855152	45.5	5
0.69	0.54	20.5444618926464	77.4764123852409	46.06	5
0.7	0.54	19.1787143009358	Inf	45.25	5
0.71	0.54	23.1191284895638	78.6268287849329	44.82	5
0.72	0.54	20.938030622556	80.2678264416888	44.3	5
0.73	0.54	23.1282326220127	77.9994333273405	43.7	5
0.74	0.54	22.2326145693398	Inf	42.97	5
0.75	0.54	21.6054299283597	Inf	43.08	5
0.76	0.54	21.7382189090875	Inf	42.21	5
0.77	0.54	25.3471320515989	Inf	42.64	5
0.78	0.54	23.4327868833932	Inf	40.99	5
0.79	0.54	25.335714581104	Inf	39.62	5
0.8	0.54	23.4914354484469	Inf	39.11	5
0.81	0.54	25.413727202071	Inf	38.6	5
0.82	0.54	24.3866005556187	Inf	37.31	5
0.83	0.54	25.1121440274946	Inf	36.37	5
0.84	0.54	28.0001982889328	Inf	34.58	5
0.85	0.54	28.2720230372145	Inf	33.96	5
0.86	0.54	27.3751683831171	Inf	33.15	5
0.87	0.54	27.0216833488231	Inf	32.12	5
0.88	0.54	30.6950903061502	Inf	30.6	5
0.89	0.54	30.4095286548624	Inf	28.14	5
0.9	0.54	34.015147178137	Inf	26.88	5
0.91	0.54	34.442055810007	Inf	24.35	5
0.92	0.54	36.5039165372421	Inf	22.67	5
0.93	0.54	37.6568454956116	Inf	20.16	5
0.94	0.54	42.815208754806	Inf	17.96	5
0.95	0.54	42.048215884095	Inf	15.81	5
0.96	0.54	46.5491049964107	Inf	12.55	5
0.97	0.54	49.5713241013027	Inf	10.02	5
0.98	0.54	60.4919287951114	Inf	6.59	5
0.99	0.54	Inf	Inf	3.59	5
0.51	0.55	16.1308669784309	66.9920560179277	49.69	5
0.52	0.55	15.1652453862409	70.3861488709556	47.21	5
0.53	0.55	16.4920474880749	66.6714438129292	48.28	5
0.54	0.55	18.7793531906361	71.8425373873651	49.14	5
0.55	0.55	18.7310646868725	73.070369263551	48.63	5
0.56	0.55	20.4440423991301	74.3665165322987	47.93	5
0.57	0.55	19.9699307187352	73.6243653237558	48.63	5
0.58	0.55	18.8021375544052	71.1515832137659	47.94	5
0.59	0.55	18.9473490526119	72.3817265982578	47.48	5
0.6	0.55	18.6094273347727	73.5354992709053	47.3	5
0.61	0.55	16.3860058241385	72.2689520803533	48.4	5
0.62	0.55	16.7855364387274	73.8068612952568	46.76	5
0.63	0.55	18.5353612903173	75.0750447378361	47.17	5
0.64	0.55	20.5134492319285	74.5073979432093	47.68	5
0.65	0.55	20.4189011649767	73.0742620265608	46.79	5
0.66	0.55	19.4206938890845	74.0183669025563	46.76	5
0.67	0.55	20.6811904555398	75.3241013782587	46.68	5
0.68	0.55	19.8892982467841	76.3816204335185	45.52	5
0.69	0.55	20.406732560581	Inf	44.59	5
0.7	0.55	23.2673268785777	78.1242073557393	45.42	5
0.71	0.55	20.7982382122297	77.6599702092329	44.52	5
0.72	0.55	22.1332737504731	Inf	44.63	5
0.73	0.55	17.8965802055565	81.7860066483321	42.88	5
0.74	0.55	20.7437630547727	80.4995535247995	43.28	5
0.75	0.55	21.1017257604784	77.7968562313063	43.05	5
0.76	0.55	21.7046569102876	Inf	42.54	5
0.77	0.55	22.4222466086418	79.8030153189339	41.69	5
0.78	0.55	21.0985390578283	80.7846198924848	40.51	5
0.79	0.55	21.9043906401358	Inf	40.46	5
0.8	0.55	26.2366403649398	Inf	39.86	5
0.81	0.55	24.0551500162231	Inf	38.27	5
0.82	0.55	25.3473100018387	Inf	37.42	5
0.83	0.55	25.6686844908602	Inf	36.12	5
0.84	0.55	28.8077759534776	Inf	34.93	5
0.85	0.55	27.6882020690735	Inf	34.3	5
0.86	0.55	29.3962919819573	Inf	32.74	5
0.87	0.55	29.1327415713088	Inf	31.52	5
0.88	0.55	29.4828421545582	Inf	30.3	5
0.89	0.55	30.042558072109	Inf	28.35	5
0.9	0.55	31.5048142445847	Inf	26.32	5
0.91	0.55	31.2960277125039	Inf	25.28	5
0.92	0.55	36.944594830382	Inf	22.43	5
0.93	0.55	36.1507888626499	Inf	21.08	5
0.94	0.55	39.3306841603287	Inf	18.44	5
0.95	0.55	41.6829540244849	Inf	16.11	5
0.96	0.55	46.4815035324226	Inf	13.72	5
0.97	0.55	47.6114763021307	Inf	10.23	5
0.98	0.55	62.3292540878784	Inf	6.49	5
0.99	0.55	Inf	Inf	3.49	5
0.51	0.56	19.5866174323391	68.3077978003227	47.63	5
0.52	0.56	17.1906966991075	67.9274827145618	48.21	5
0.53	0.56	17.2108094747844	69.4916336641312	48.01	5
0.54	0.56	16.5932902459398	72.1545309254318	48.68	5
0.55	0.56	21.0735217978926	71.705747748886	48.79	5
0.56	0.56	19.0842582445838	71.9354413383028	48.81	5
0.57	0.56	17.0206771750085	70.8590755615683	47.71	5
0.58	0.56	19.3343526608854	71.6539997028664	48.28	5
0.59	0.56	17.5357101387191	72.8035075055149	47.99	5
0.6	0.56	17.8205455397477	73.5624621560019	47.78	5
0.61	0.56	19.300722881402	71.307557680674	48.39	5
0.62	0.56	18.2440527984979	73.8940489453116	47.6	5
0.63	0.56	17.1114729321074	74.0827401497886	48.35	5
