trait	Rate1	Rate2	LogL	Lik.Root	First.Evol	Med.Evol	N.evol	N.origins	Origins	Dates.Origins
K09794	-7.4109145654089e-05	-0.00128774718616427	-350.172120676604	0.996977895968504	938.933978	3635.689328	71	2	2474, 4400	938.933978, 2223.35251
K09795	-3.90873389919577e-05	-0.00159151177796092	-156.133162710488	0.998979919171265	938.933978	3429.245932	76	3	2474, 4425, 4437	938.933978, 3690.892653, 2346.177378
K09796	-2.07590791419762e-05	-0.000553835384188454	-226.615809076229	0.986331333125445	938.933978	3545.8881475	18	4	2474, 4413, 4433, 4441	938.933978, 3630.537838, 2777.979482, 3443.105539
K09797	-0.00022021655539124	-0.00182973467010091	-370.473373166713	0.998977322304313	938.933978	3545.1649735	110	2	2474, 4399	938.933978, 1903.089273
K09798	-2.50635225886069e-05	-0.000837635015235968	-257.073562006942	0.995846149999781	938.933978	3431.1176	32	2	2474, 4439	938.933978, 2465.191362
K09799	-7.86032333735109e-05	-0.00146356573810056	-195.138256669324	0.998996593264227	938.933978	3432.305786	79	4	2474, 4401, 4440, 4469	938.933978, 2430.955609, 2807.857168, 2659.638229
K10972	-2.85400839428906e-05	-0.00942541394723796	-64.7531765189173	0.999	938.933978	3705.265062	216	2	2474, 4399	938.933978, 1903.089273
K10973	-1.12841761383852e-05	-0.0136140067302037	-50.1699532147599	0.999	938.933978	3791.573274	231	3	2474, 4402, 4437	938.933978, 3052.889894, 2346.177378
K10977	-1.01407232691228e-05	-0.000542835255128141	-36.9072283952523	0.994542160919562	938.933978	3370.343621	15	2	2474, 4399	938.933978, 1903.089273
K10974	-0.000574820249677759	-0.006838657382287	-480.582051328033	0.998999999999978	1899.410578	3728.673297	207	4	2477, 4378, 4389, 4399	1899.410578, 2117.495262, 2702.50514, 1903.089273
K10975	-4.8654857778098e-05	-0.0106991933986817	-85.7298702216688	0.999	1416.658921	3717.4779215	210	4	2475, 4402, 4433, 4437	1416.658921, 3052.889894, 2777.979482, 2346.177378
K10978	-2.10526269910264e-06	-4.23650346237711e-06	-7.61173077986175	0.999999967744551	2807.857168	2807.857168	1	1	4440	2807.857168
K10979	-0.000173978542368826	-0.000914249005863079	-373.870262720237	0.99922901291638	938.933978	3608.23446	86	4	2474, 4401, 4491, 4500	938.933978, 2430.955609, 3853.771124, 3567.640977
K06308	-9.23389578098667e-06	-0.00149302074111063	-45.923747383683	0.999080348237783	1416.658921	3389.949435	77	4	2475, 4412, 4433, 4439	1416.658921, 3309.677093, 2777.979482, 2465.191362
K00315	-2.36994532365603e-05	-0.00177256113326838	-108.063458721941	0.999029109843347	938.933978	3547.6019305	94	2	2474, 4437	938.933978, 2346.177378
K09862	-1.18355464914837e-05	-0.000578575180414448	-218.516583314949	0.993705743017032	938.933978	3307.737934	14	1	2474	938.933978
K06303	-3.05448830743728e-06	-0.00146978343551407	-28.8207873844629	0.999086358251603	2084.966731	3465.3768275	86	11	2481, 3531, 3535, 3539, 4124, 4327, 4381, 4386, 4390, 4401, 4437	2084.966731, 3575.453514, 3096.35372, 2194.887275, 2264.827823, 3176.304547, 3604.850173, 3518.374868, 3611.519581, 2430.955609, 2346.177378
K09860	-3.0050548834424e-05	-0.000824899412578233	-107.961535131162	0.999360949422044	1416.658921	3305.816672	41	2	2475, 4399	1416.658921, 1903.089273
K09861	-0.000166506108002038	-0.000492923870636543	-417.045967122354	0.999529218181738	2117.495262	3671.636319	55	10	2483, 3346, 3357, 3539, 4141, 4330, 4363, 4378, 4389, 4421	2175.24293, 2492.126572, 2164.641128, 2194.887275, 2901.115218, 3527.67626, 3902.527124, 2117.495262, 2702.50514, 3714.057985
K06306	-4.28764095947979e-06	-0.00156096544960813	-108.891357202984	0.997770775344472	938.933978	3566.103432	62	2	2474, 4400	938.933978, 2223.35251
K06307	-1.35728282662406e-05	-0.00318075345165794	-58.3283461678537	0.998997830238612	1416.658921	3599.35917	121	3	2475, 4402, 4437	1416.658921, 3052.889894, 2346.177378
K06305	-7.44161762781768e-06	-0.000665456295166319	-37.1268759939799	0.999500429044545	938.933978	3338.761615	19	3	2474, 4416, 4437	938.933978, 3793.99652, 2346.177378
K04047	-0.000166958136616561	-0.000673413740383011	-554.578126569005	0.998695582519861	938.933978	3599.35917	49	4	2474, 4401, 4484, 4499	938.933978, 2430.955609, 3067.229666, 3028.559449
K04046	-2.26774746691007e-05	-0.00133345764422654	-252.346577495294	0.996842810636666	938.933978	3497.8363765	54	3	2474, 4402, 4439	938.933978, 3052.889894, 2465.191362
K04045	-0.000509630306814534	-0.0139191512093782	-338.574323648827	0.999	1809.157363	3774.0678255	254	5	2476, 4389, 4398, 4401, 4437	1809.157363, 2702.50514, 3845.416488, 2430.955609, 2346.177378
K04044	-2.03592476396174e-05	-0.000722202774261989	-153.925693686139	0.999444367127349	2121.156963	3342.6471255	30	14	2482, 3353, 3544, 3696, 4088, 4114, 4119, 4120, 4247, 4327, 4381, 4386, 4389, 4409	2144.091018, 2121.156963, 3508.723351, 2699.134245, 3472.467177, 3186.808201, 3525.373877, 3032.214709, 4058.370996, 3176.304547, 3604.850173, 3518.374868, 2702.50514, 3968.180684
K04043	-0.000195836797254159	-1.48993785456468e-05	-62.0083953336892	0.999980212821033	1416.658921	3684.848761	9	3	2475, 4433, 4468	1416.658921, 2777.979482, 2536.349634
K04042	-9.10286860015169e-05	-9.39086159244469e-05	-185.621328588657	0.948141697850456	938.933978	3542.898433	19	2	2474, 4399	938.933978, 1903.089273
K04041	-5.65743018598356e-05	-0.000751852988359394	-228.115322969597	0.999393292592022	938.933978	3376.381578	42	1	2474	938.933978
K04040	-2.51696723502046e-05	-0.00136761383673982	-153.367614166907	0.996041070987541	938.933978	3564.5725455	54	2	2474, 4400	938.933978, 2223.35251
