Trait	Anc	Des	Len	S.Anc	S.Des	R.Dist
Alanine..aspartate.and.glutamate.metabolism	2498	2499	32.587972	Off	On	3989.564671
Alanine..aspartate.and.glutamate.metabolism	2492	2512	23.704836	Off	On	3424.929822
Alanine..aspartate.and.glutamate.metabolism	2513	2514	183.371675	Off	On	3672.368832
Alanine..aspartate.and.glutamate.metabolism	2513	2516	161.167547	Off	On	3650.164704
Alanine..aspartate.and.glutamate.metabolism	2546	2547	79.543957	Off	On	3682.539725
Alanine..aspartate.and.glutamate.metabolism	2546	2589	92.88667	Off	On	3695.882438
Alanine..aspartate.and.glutamate.metabolism	2604	2605	79.079436	Off	On	3753.857898
Alanine..aspartate.and.glutamate.metabolism	2635	2636	437.767777	Off	On	3779.943385
Alanine..aspartate.and.glutamate.metabolism	2635	2637	97.852163	Off	On	3440.027771
Alanine..aspartate.and.glutamate.metabolism	2666	2667	37.991293	Off	On	3476.522631
Alanine..aspartate.and.glutamate.metabolism	2819	2820	322.777692	Off	On	4028.544203
Alanine..aspartate.and.glutamate.metabolism	2819	2822	48.762182	Off	On	3754.528693
Alanine..aspartate.and.glutamate.metabolism	2866	2867	193.406755	Off	On	3863.601282
Alanine..aspartate.and.glutamate.metabolism	2666	2888	362.816205	Off	On	3801.347543
Alanine..aspartate.and.glutamate.metabolism	2946	2947	279.408031	Off	On	3868.485676
Alanine..aspartate.and.glutamate.metabolism	2976	2977	511.083809	Off	On	4058.435646
Alanine..aspartate.and.glutamate.metabolism	2982	2983	295.363065	Off	On	3816.954999
Alanine..aspartate.and.glutamate.metabolism	2988	2989	546.846206	Off	On	3911.844862
Alanine..aspartate.and.glutamate.metabolism	2993	2994	521.183769	Off	On	3001.128439
Alanine..aspartate.and.glutamate.metabolism	2997	2998	292.011034	Off	On	3804.656485
Alanine..aspartate.and.glutamate.metabolism	3001	3002	69.364205	Off	On	4051.020513
Alanine..aspartate.and.glutamate.metabolism	3019	3020	293.123398	Off	On	3918.108628
Alanine..aspartate.and.glutamate.metabolism	3023	3024	50.60158	Off	On	3822.251269
Alanine..aspartate.and.glutamate.metabolism	2993	3063	228.564804	Off	On	2708.509474
Alanine..aspartate.and.glutamate.metabolism	3065	3066	239.022379	Off	On	3348.54014
Alanine..aspartate.and.glutamate.metabolism	3065	3084	180.675947	Off	On	3290.193708
Alanine..aspartate.and.glutamate.metabolism	3085	3086	407.040226	Off	On	4060.723706
Alanine..aspartate.and.glutamate.metabolism	3087	3088	6.591802	Off	On	4029.922707
Alanine..aspartate.and.glutamate.metabolism	3087	3102	39.97275	Off	On	4063.303655
Alanine..aspartate.and.glutamate.metabolism	3064	3103	111.765824	Off	On	2984.140287
Alanine..aspartate.and.glutamate.metabolism	3135	3136	39.697099	Off	On	3200.035099
Alanine..aspartate.and.glutamate.metabolism	3252	3253	162.201614	Off	On	3024.101613
Alanine..aspartate.and.glutamate.metabolism	3252	3254	167.293842	Off	On	3029.193841
Alanine..aspartate.and.glutamate.metabolism	3261	3262	209.220707	Off	On	3671.636319
